Sex,Length,Diameter,Height,Whole.weight,Shucked.weight,Viscera.weight,Shell.weight,Rings
F,0.5177522021858909,0.40556220119404474,0.11007854782852022,0.7004872172790191,0.337337571169849,0.1305464025619754,0.15289963948183033,1-8
M,0.367868589060528,0.2496892445465031,0.09849291220347446,0.13501726721093735,0.0359800580395893,0.06321135330518886,0.06911344485583343,9-10
F,0.6054820458226917,0.4682481490196242,0.17365235976318605,1.0498507689416403,0.4778336407029518,0.2302556932962895,0.2719928114585501,11+
F,0.66167954869894,0.5266279256442425,0.16413694766296533,0.994953986436723,0.43977855890525325,0.18181623660289498,0.3130166238249161,1-8
M,0.7314952619781234,0.5725505619981424,0.19752772426454301,1.9589424658915582,0.9739718336597367,0.4422195421367041,0.41297401011005724,1-8
I,0.44931657848926587,0.37394724031419724,0.1323687095648782,0.6243829282498176,0.2267059562804139,0.1146742666424463,0.26071530611425936,11+
F,0.3706832024156972,0.2795725388977761,0.06660275901419234,0.1661835344287548,0.0803508123406778,0.03733035286266487,0.07488508975518132,11+
I,0.5341696895006676,0.41788515690298844,0.14271966249289716,0.8218784654724324,0.2355578716603783,0.16160621628384522,0.2933765779499541,1-8
M,0.6180354684462515,0.4716799892242194,0.19156210513424762,1.2102882670680288,0.4399252855039788,0.30634033980444153,0.3534797779655197,11+
F,0.688544142775477,0.5479247707750337,0.16457113286612465,1.585281916886536,0.6818639606527764,0.3323651252243629,0.4480814348783343,11+
M,0.37628232756487634,0.2544812146536266,0.07208808198163473,0.1628956178650405,0.048122761485194766,0.03932568140567228,0.09125404303667659,1-8
F,0.48312643922604526,0.3712419403025553,0.08695754776845457,0.32533065582090176,0.10392195175762294,0.1011730071187294,0.10325386685238061,1-8
I,0.29624524666768615,0.2529941090829335,0.076158828484617,0.11516571830660029,0.04424915898817282,0.026242235171744906,0.027882873440203654,9-10
I,0.5805150962529622,0.43978209496458254,0.1438148138686155,0.8865370254731817,0.3481919444481262,0.14395082562420622,0.31127137421965556,1-8
I,0.6236051525529573,0.5051855853807465,0.16791385644896464,1.448492538775994,0.665332595812462,0.3121788679301762,0.3409952627859821,9-10
M,0.701032187914369,0.5515134046153616,0.20911404352971996,1.645251478254524,0.8659320126679872,0.36665530896853815,0.3710851141625404,1-8
M,0.5257105898926779,0.41807767307040544,0.08977228077795904,0.42909896915846907,0.25079437959614737,0.10633822796249345,0.12563168522256918,9-10
F,0.7118918468739368,0.5610692752341495,0.16364399998135637,1.7135255026792318,0.7290199798435438,0.34580387006360014,0.5270581966621954,1-8
M,0.30721370531648784,0.18953298029803745,0.08382340669295496,0.09934775735867205,0.05413986103099379,0.02468625163630958,0.03718061427571867,9-10
M,0.7328590568714954,0.5772711116296443,0.19062104898311077,2.337345754419767,1.1578876802295353,0.5161991028683426,0.5561877559805737,1-8
F,0.6940646714333036,0.5464217652019663,0.17321372129817525,1.6342623913591292,0.7958204239080081,0.3066923450086016,0.36847176362546546,11+
I,0.5212595279201535,0.39355150256627924,0.11840741356695278,0.597820565182502,0.24487005168336395,0.10788950923089692,0.2820237898085087,9-10
F,0.6119288912659213,0.4861831606001581,0.13774757504474133,0.8372538078367111,0.3993242665866528,0.19529700703959504,0.24743432218574438,11+
I,0.6320419766797265,0.49826386070566286,0.1728352916978785,0.9256671966778305,0.3446845836276817,0.2834818142441734,0.3053747330376821,1-8
F,0.5274894599810906,0.39270987915854505,0.15321637855767306,0.9732008593678008,0.49698538000571535,0.23467883868283465,0.24111830962156788,11+
I,0.5816907724859774,0.4607394891280481,0.14152636749321712,0.9249229535210037,0.29628147070827854,0.1670546802452923,0.3379495180765718,9-10
M,0.6465524286909003,0.49923917956725017,0.19403003057496934,1.2926769790149046,0.5841537945630446,0.2946600058101399,0.4009073886900478,11+
I,0.5779854237341784,0.44724711319325516,0.1438006011259167,1.034832992380048,0.43796299921646625,0.21338105396398463,0.3210174424375845,1-8
I,0.337577333454254,0.21962952856449558,0.0989844597341504,0.15663587016503933,0.07094401198579,0.024049224801775806,0.08054120086514202,11+
F,0.6246460469280004,0.481409670794124,0.11369661133817448,1.2364677724790805,0.45954012044891934,0.3189913614911149,0.3505183502143945,9-10
F,0.5691945191167509,0.4320816776546499,0.14602372822426027,1.0329651348635558,0.3528516619717072,0.20338814034360292,0.3474674791982844,11+
F,0.5134939919032613,0.3747316744492206,0.09350671109153902,0.8894995686431969,0.46403865517947873,0.16611395185542155,0.21657145436044684,1-8
M,0.5953019864064597,0.43809821496470436,0.08339363857188295,0.8945448184344241,0.44017619161223104,0.1672486735690981,0.2859394978328588,9-10
I,0.6804839826546347,0.5445928480363991,0.18171920700565308,1.5204180506438292,0.7606398352531129,0.2654462972093923,0.381443835469947,1-8
I,0.44144225864790254,0.333442140735555,0.11169507337623394,0.37491799687973953,0.1416587067809847,0.07776667076359857,0.177703206725268,9-10
F,0.44603002724160223,0.32552837498658294,0.11897494013869987,0.41093468844327125,0.15670734670834766,0.0800807471858058,0.16825729889934943,11+
M,0.343673434773077,0.2560983432594348,0.08479491488082876,0.5640329647865735,0.11712128987127422,0.11730694506880836,0.25029264071737417,11+
I,0.39449705581023675,0.27001963392527806,0.09261424858526018,0.2029113324843198,0.09858790195935074,0.049869600475363866,0.08138487040016304,1-8
F,0.5014418273961372,0.39028309181682186,0.11982270216649175,0.3577367015000957,0.23022493160736646,0.08113078886512207,0.1111678026123954,9-10
I,0.6866473257026531,0.5463000934018196,0.1644916907020596,1.2706305520528316,0.5826451962945058,0.2962630049993877,0.3821130262274711,1-8
I,0.5100268495676454,0.40569973985547936,0.11205122459386756,0.6945987119117923,0.29684404383588425,0.15986674476898285,0.27714739647211756,11+
