Sex,Length,Diameter,Height,Whole.weight,Shucked.weight,Viscera.weight,Shell.weight,Rings
M,0.46,0.35,0.12,0.5165,0.224,0.101,0.1625,9
F,0.505,0.385,0.175,0.6675,0.2655,0.15,0.205,11+
M,0.575,0.44,0.135,0.9215,0.383,0.213,0.29,11+
M,0.62,0.49,0.15,1.0295,0.457,0.2615,0.28,9
I,0.435,0.325,0.1,0.335,0.1395,0.065,0.115,1-8
F,0.615,0.495,0.16,1.2865,0.4915,0.2855,0.35,11+
I,0.35,0.26,0.09,0.1985,0.085,0.06,0.068,1-8
M,0.405,0.305,0.11,0.2795,0.109,0.0565,0.085,9
F,0.68,0.55,0.19,1.787,0.7665,0.391,0.485,1-8
I,0.4,0.31,0.1,0.3075,0.143,0.067,0.09,1-8
I,0.36,0.25,0.07,0.169,0.0715,0.0325,0.05,1-8
M,0.645,0.515,0.24,1.498,0.4265,0.3345,0.47,11+
M,0.48,0.375,0.135,0.6125,0.25,0.1345,0.22,11+
I,0.525,0.4,0.125,0.5655,0.235,0.1335,0.17,9
F,0.445,0.335,0.105,0.4895,0.2435,0.082,0.1065,9
M,0.58,0.465,0.175,1.0515,0.391,0.1865,0.375,11+
M,0.705,0.565,0.205,2.009,0.8005,0.409,0.565,11+
I,0.5,0.395,0.13,0.633,0.2985,0.1555,0.175,9
I,0.26,0.2,0.065,0.101,0.0445,0.02,0.028,1-8
F,0.45,0.345,0.145,0.5755,0.1955,0.1245,0.1945,11+
I,0.28,0.215,0.085,0.1075,0.044,0.0245,0.0385,1-8
F,0.55,0.41,0.115,0.9235,0.3895,0.181,0.285,11+
M,0.685,0.52,0.165,1.482,0.6605,0.3025,0.42,11+
F,0.58,0.46,0.18,1.165,0.451,0.2635,0.387,1-8
F,0.57,0.435,0.125,0.865,0.377,0.1775,0.27,1-8
M,0.745,0.595,0.215,2.8255,1.3485,0.472,0.62,11+
M,0.525,0.405,0.13,1.001,0.438,0.2735,0.255,1-8
M,0.525,0.405,0.16,0.792,0.2855,0.169,0.25,11+
M,0.655,0.535,0.205,2.0805,1.0715,0.383,0.482,10
F,0.72,0.565,0.18,2.1505,0.9515,0.487,0.545,11+
M,0.47,0.37,0.12,0.5785,0.295,0.0955,0.136,1-8
F,0.275,0.19,0.07,0.094,0.0345,0.02,0.03,1-8
I,0.205,0.145,0.055,0.036,0.0135,0.0065,0.011,1-8
I,0.44,0.33,0.11,0.3705,0.148,0.0955,0.1185,1-8
I,0.455,0.335,0.1,0.3505,0.1525,0.084,0.1135,9
F,0.66,0.53,0.175,1.3345,0.615,0.2665,0.349,11+
F,0.595,0.46,0.15,1.151,0.564,0.243,0.29,1-8
M,0.67,0.525,0.2,1.489,0.5295,0.375,0.375,10
F,0.535,0.415,0.185,0.8975,0.275,0.1695,0.355,11+
M,0.585,0.45,0.15,0.997,0.462,0.2095,0.2725,1-8
M,0.615,0.48,0.16,1.1495,0.488,0.256,0.306,10
I,0.475,0.36,0.135,0.4485,0.1585,0.093,0.123,1-8
F,0.53,0.42,0.13,0.7185,0.295,0.171,0.225,1-8
M,0.405,0.305,0.1,0.3415,0.1545,0.0985,0.088,1-8
I,0.56,0.455,0.135,0.7635,0.354,0.153,0.245,11+
F,0.655,0.52,0.175,1.5175,0.54,0.332,0.38,11+
M,0.64,0.53,0.19,1.647,0.889,0.3395,0.4675,10
F,0.425,0.33,0.095,0.3785,0.152,0.077,0.1195,1-8
F,0.7,0.575,0.185,1.658,0.8605,0.307,0.4395,10
F,0.675,0.555,0.22,1.925,0.598,0.435,0.55,11+
I,0.655,0.525,0.19,1.5475,0.6645,0.3345,0.37,9
I,0.61,0.475,0.16,1.071,0.437,0.2335,0.305,10
M,0.59,0.47,0.15,1.079,0.488,0.2475,0.2685,9
I,0.57,0.445,0.175,0.8525,0.3455,0.1775,0.295,11+
I,0.485,0.36,0.13,0.5155,0.21,0.123,0.175,9
I,0.56,0.425,0.145,0.768,0.3545,0.1585,0.239,10
F,0.59,0.445,0.16,0.832,0.3465,0.156,0.291,9
F,0.49,0.39,0.12,0.5565,0.254,0.112,0.17,1-8
M,0.43,0.33,0.13,0.515,0.1885,0.101,0.212,1-8
F,0.595,0.435,0.14,0.869,0.3075,0.239,0.265,11+
I,0.47,0.345,0.135,0.474,0.2155,0.1105,0.145,1-8
I,0.375,0.275,0.095,0.218,0.0995,0.038,0.0605,1-8
F,0.535,0.42,0.16,0.7845,0.3535,0.1885,0.2455,9
I,0.215,0.15,0.06,0.049,0.0235,0.013,0.014,1-8
M,0.665,0.5,0.165,1.3385,0.6075,0.302,0.3575,9
M,0.585,0.49,0.18,1.171,0.5285,0.2555,0.3095,1-8
F,0.52,0.43,0.165,0.8155,0.2985,0.1365,0.275,9
I,0.13,0.105,0.03,0.0105,0.0025,0.003,0.005,1-8
M,0.56,0.45,0.155,0.795,0.3485,0.1615,0.224,9
F,0.6,0.5,0.19,1.29,0.526,0.3035,0.4105,11+
I,0.55,0.435,0.135,0.7715,0.3945,0.1205,0.206,9
I,0.28,0.205,0.075,0.106,0.0415,0.026,0.034,1-8
M,0.35,0.255,0.08,0.187,0.0735,0.0495,0.063,10
F,0.58,0.45,0.195,1.071,0.392,0.207,0.36,11+
F,0.57,0.42,0.155,0.873,0.4315,0.1915,0.25,10
M,0.685,0.52,0.15,1.343,0.4955,0.3205,0.2875,11+
